BRG NO,Span Grp,Span Length,Span Length for cal,Span Type,LL:DL Ratio,Year BLT,Rating,>ST45,Semi-Trailer,B-Double,No of lane,Design Key,SPAN@ABS,DESIGNBM,DESIGNShear,HMLBM,HMLShear ,Rating BM,Rating Shear,Final BM,Final Shear,Allowance (DesignLoad),Allowance(FinalRating)
10758,1,15.45,15.45,PPLNK,3.5,2013,,0,Y,Y,2,9,0.45,2304.845,660.206,1242.383347,391.82,0,0,1242.383,391.82,0.05,0.111
10759,1,16.28,16.28,PPLNK,3.5,2013,,0,Y,Y,2,9,0.28,2561.626,691.609,1352.181896,399.864,0,0,1352.182,399.864,0.05,0.111
10761,1,21.99,21.99,PSUTG,4,2013,,0,Y,Y,2,9,0.99,4629.695,909.622,2114.338013,459.343,0,0,2114.338,459.343,0.05,0.111
10761,8,21.99,21.99,PSUTG,4,2013,,0,Y,Y,2,9,0.99,4629.695,909.622,2114.338013,459.343,0,0,2114.338,459.343,0.05,0.111
10761,2-7,22,22,PSUTG,4,2013,,0,Y,Y,2,9,0,4633.751,910,2115.661935,459.509,0,0,2115.662,459.509,0.05,0.111
10762,1,21.99,21.99,PSUTG,4,2013,,0,Y,Y,2,9,0.99,4629.695,909.622,2114.338013,459.343,0,0,2114.338,459.343,0.05,0.111
10762,8,21.99,21.99,PSUTG,4,2013,,0,Y,Y,2,9,0.99,4629.695,909.622,2114.338013,459.343,0,0,2114.338,459.343,0.05,0.111
10762,2-7,22,22,PSUTG,4,2013,,0,Y,Y,2,9,0,4633.751,910,2115.661935,459.509,0,0,2115.662,459.509,0.05,0.111
10763,1,25,25,PSUTG,4,2012,,0,Y,Y,2,9,0,5974.376,1024.1,2700.639493,500.192,0,0,2700.639,500.192,0.05,0.111
10764,6,14.98,14.98,PPLNK,3.5,2012,,0,Y,Y,2,9,0.98,2159.988,642.73,1180.998396,387.006,0,0,1180.998,387.006,0.05,0.111
10764,1-5,15,15,PPLNK,3.5,2012,,0,Y,Y,2,9,0,2165.626,643.5,1183.382904,387.244,0,0,1183.383,387.244,0.05,0.111
10766,1,38.09,38.09,PSUTG,4,2013,,0,Y,Y,2,9,0.09,13029.5,1420.225,5238.750293,593.352,0,0,5238.75,593.352,0.05,0.111
10768,1-1,12,12,CARCH,3.5,2010,NR,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10769,1,15.58,15.58,PPLNK,3.5,2012,,0,Y,Y,1,9,0.58,2345.064,665.033,1259.42792,393.142,0,0,1259.428,393.142,0.05,0.111
10769,2,16.09,16.09,PPLNK,3.5,2012,,0,Y,Y,2,9,0.09,2502.845,684.156,1326.608645,398.2,0,0,1326.609,398.2,0.05,0.111
10769,3,15.58,15.58,PPLNK,3.5,2012,,0,Y,Y,2,9,0.58,2345.064,665.033,1259.42792,393.142,0,0,1259.428,393.142,0.05,0.111
10770,1,21.19,21.19,PSUTG,4,2011,,0,Y,Y,2,9,0.19,4305.195,879.336,2008.42418,446.098,0,0,2008.424,446.098,0.05,0.111
10771,1,23.51,23.51,PSUTG,4,2015,,0,Y,Y,2,9,0.51,5308.532,967.742,2402.260758,481.317,0,0,2402.261,481.317,0.05,0.111
10774,0-1,18,18,PPLNK,3.5,2009,NR,0,Y,Y,2,9,0,3093.751,756.25,1583.144943,413.76,0,0,1583.145,413.76,0.05,0.111
10777,1-1,28.17,28.17,PSUTG,4,2012,,0,Y,Y,2,9,0.17,7596.326,1145.504,3327.826371,532.367,0,0,3327.826,532.367,0.05,0.111
10777,2-2,31.6,31.6,PSUTG,4,2012,,0,Y,Y,2,9,0.6,9460,1259.899,3996.607168,558.741,0,0,3996.607,558.741,0.05,0.111
10777,10-10,32.87,32.87,PSUTG,4,2012,,0,Y,Y,2,9,0.87,10158.5,1296.344,4241.967699,566.878,0,0,4241.968,566.878,0.05,0.111
10777,3-9,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10778,1-1,36.66,36.66,PSUTG,4,2012,,0,Y,Y,2,9,0.66,12243,1389.716,4967.365602,587.009,0,0,4967.366,587.009,0.05,0.111
10779,1-1,34.29,34.29,PSUTG,4,2012,,0,Y,Y,2,9,0.29,10939.5,1333.709,4514.858494,575.058,0,0,4514.858,575.058,0.05,0.111
10780,1-1,18.64,18.64,PSUTG,4,2012,,0,Y,Y,2,9,0.64,3335.751,781.724,1668.58474,417.996,0,0,1668.585,417.996,0.05,0.111
10781,1-1,39.89,39.89,PSUTG,4,2010,,0,Y,Y,2,9,0.89,14019.5,1455.406,5578.60829,600.499,0,0,5578.608,600.499,0.05,0.111
10782,1-1,20.02,20.02,PSUTG,4,2012,,0,Y,Y,2,9,0.02,3857.564,834.028,1852.929405,428.523,0,0,1852.929,428.523,0.05,0.111
10783,1-1,38.48,38.48,PSUTG,4,2012,,0,Y,Y,2,9,0.48,13244,1428.041,5312.494586,594.951,0,0,5312.495,594.951,0.05,0.111
10784,1-1,37.4,37.4,PSUTG,4,2012,,0,Y,Y,2,9,0.4,12650,1405.747,5107.929223,590.355,0,0,5107.929,590.355,0.05,0.111
10785,2-2,12,12,PPLNK,3.5,1997,NR,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10785,1-1,11.98,11.98,PPLNK,3.5,1997,NR,0,Y,Y,2,9,0.98,1397.84,528.588,816.3299676,342.13,0,0,816.33,342.13,0.05,0.111
10785,3-3,11.98,11.98,PPLNK,3.5,1997,NR,0,Y,Y,2,9,0.98,1397.84,528.588,816.3299676,342.13,0,0,816.33,342.13,0.05,0.111
10786,1,4.5,5,CSLAB,2.5,2009,NR,0,Y,Y,2,9,0,268.125,264,243.6525,217.854,0,0,243.652,217.854,0.05,0.111
10786,1,4.5,5,CSLAB,2.5,2009,NR,0,Y,Y,2,9,0,268.125,264,243.6525,217.854,0,0,243.652,217.854,0.05,0.111
10792,2,25.45,25.45,PSUTG,4,2013,,0,Y,Y,2,9,0.45,6200.22,1041.596,2790.143484,505.217,0,0,2790.143,505.217,0.05,0.111
10792,3,26.66,26.66,PSUTG,4,2013,,0,Y,Y,2,9,0.66,6816.564,1087.414,3030.1737,518.092,0,0,3030.174,518.092,0.05,0.111
10792,1,30,30,PSUTG,4,2013,,0,Y,Y,2,9,0,8580,1210,3685.903527,547.399,0,0,3685.904,547.399,0.05,0.111
10793,1,29.5,29.5,PSUTG,4,2013,,0,Y,Y,2,9,0.5,8305.001,1192.931,3588.259524,543.446,0,0,3588.26,543.446,0.05,0.111
10793,2,26.9,26.9,PSUTG,4,2013,,0,Y,Y,2,9,0.9,6940.314,1096.298,3077.677863,520.54,0,0,3077.678,520.54,0.05,0.111
10794,1-2,27.5,27.5,PSUTG,4,2013,,0,Y,Y,2,9,0.5,7249.689,1119.643,3195.97764,526.234,0,0,3195.978,526.234,0.05,0.111
10795,1-3,10,10,PPLNK,3.5,2013,,0,Y,Y,2,9,0,976.25,453.75,601.965,303.531,0,0,601.965,303.531,0.05,0.111
10795,2,12,12,PPLNK,3.5,2013,,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10796,1-3,10,10,PPLNK,3.5,2012,,0,Y,Y,2,9,0,976.25,453.75,601.965,303.531,0,0,601.965,303.531,0.05,0.111
10796,2,12,12,PPLNK,3.5,2012,,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10798,1-3,12,12,PPLNK,3.5,2014,,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10799,1-3,12,12,PPLNK,3.5,2012,,0,Y,Y,2,9,0,1402.501,529.375,818.8051083,342.547,0,0,818.805,342.547,0.05,0.111
10801,1-2,26.75,26.75,PSUTG,4,2014,,0,Y,Y,2,9,0.75,6862.97,1090.745,3047.987761,519.01,0,0,3047.988,519.01,0.05,0.111
10802,1,25.65,25.65,PSUTG,4,2013,,0,Y,Y,2,9,0.65,6300.595,1049.373,2829.923035,507.45,0,0,2829.923,507.45,0.05,0.111
10802,2,27.5,27.5,PSUTG,4,2013,,0,Y,Y,2,9,0.5,7249.689,1119.643,3195.97764,526.234,0,0,3195.978,526.234,0.05,0.111
10803,1,33.98,33.98,PSUTG,4,2013,,0,Y,Y,2,9,0.98,10769,1325.942,4455.458989,573.377,0,0,4455.459,573.377,0.05,0.111
10803,2,29.63,29.63,PSUTG,4,2013,,0,Y,Y,2,9,0.63,8376.5,1197.369,3613.646965,544.474,0,0,3613.647,544.474,0.05,0.111
10804,1,30.8,30.8,PSUTG,4,2014,,0,Y,Y,2,9,0.8,9020,1235.549,3841.487621,553.235,0,0,3841.488,553.235,0.05,0.111
10804,2,37.55,37.55,PSUTG,4,2014,,0,Y,Y,2,9,0.55,12732.5,1408.915,5136.380012,591.012,0,0,5136.38,591.012,0.05,0.111
10805,1,11.58,11.58,PPLNK,3.5,1981,,0,Y,Y,2,7,0.58,1137.074,437.31,766.8271534,333.785,0,0,766.827,333.785,0.05,0.111
10805,2,10.36,10.36,PPLNK,3.5,1981,,0,Y,Y,2,7,0.36,977.645,415.248,635.4749062,310.066,0,0,635.475,310.066,0.05,0.111
10805,3,6.09,6.09,PPLNK,3.5,1981,,0,Y,Y,2,7,0.09,419.641,332.546,321.764625,230.057,0,0,321.765,230.057,0.05,0.111
10805,4,13.16,13.16,PPLNK,3.5,1981,,0,Y,Y,2,7,0.16,1343.549,476.563,962.282384,363.117,0,0,962.282,363.117,0.05,0.111
10806,21,25.5,25.5,PSUTG,4,2013,,0,Y,Y,2,9,0.5,6225.314,1043.541,2800.088372,505.775,0,0,2800.088,505.775,0.05,0.111
10806,22,24.5,24.5,PSUTG,4,2013,,0,Y,Y,2,9,0.5,5750.939,1005.331,2600.686179,494.062,0,0,2600.686,494.062,0.05,0.111
10807,1,35,35,PSUTG,4,2013,,0,Y,Y,2,9,0,11330,1351.429,4650.871195,578.889,0,0,4650.871,578.889,0.05,0.111
10808,1,35,35,PSUTG,4,2013,,0,Y,Y,2,9,0,11330,1351.429,4650.871195,578.889,0,0,4650.871,578.889,0.05,0.111
10809,1,35,35,PSUTG,4,2014,,0,Y,Y,2,9,0,11330,1351.429,4650.871195,578.889,0,0,4650.871,578.889,0.05,0.111
10810,1,38.7,38.7,PSUTG,4,2013,,0,Y,Y,2,9,0.7,13365,1432.45,5354.09393,595.852,0,0,5354.094,595.852,0.05,0.111
10810,2,35,35,PSUTG,4,2013,,0,Y,Y,2,9,0,11330,1351.429,4650.871195,578.889,0,0,4650.871,578.889,0.05,0.111
